,ndcg_cut_10,recip_rank,recall_100,P_10
BM25,0.2500949891466775,0.4493563385300369,0.08624170348375934,0.23673469387755097
TF-IDF,0.24963656947811133,0.4493601760444918,0.08638037444462247,0.23673469387755097
